2689	8972	27
14	3796	32
1507	4168	35
1675	2120	19
143	9486	9
167	5036	6
242	7470	6
105	2382	26
15253	5176	0
361	3093	4
12	1730	8
107	2589	6
27307	5593	2
428	6974	8
2513	2427	5
101	1703	26
237	324	2
4658	4132	13
247	1722	9
14	3692	15
458	6548	5
161	3619	41
265	6838	7
212	6775	21
14230	4270	0
131	7235	1
586	1075	7
23384	5016	6
102	6050	23
186	9507	6
12	9449	25
176	6271	21
105	907	23
101	4039	9
135	5247	2
22022	486	30
668	4139	38
2151	8319	2
117	2444	5
160	507	3
130	6031	7
161	8634	12
24145	7126	13
1788	9056	17
4343	828	18
12	2604	27
152	9585	14
104	7373	8
190	1160	6
172	6440	2
25660	3338	0
2233	9413	0
13	308	9
104	6596	10
12	1028	28
148	1892	17
17342	9918	10
151	1528	13
395	1352	1
139	6142	7
12	2895	17
414	2992	12
207	9969	0
746	522	13
934	7556	0
117	8768	5
11475	5977	18
289	8121	2
113	6181	2
386	5750	29
101	8995	6
134	8109	12
5570	9987	11
17869	5294	21
14	9991	20
26394	3360	5
103	1999	30
17	8214	15
8677	2779	14
14	1584	32
17327	6674	10
9172	6685	2
108	4057	1
173	3651	5
101	7274	12
103	4649	30
748	1487	1
429	4607	24
14	3596	20
5240	6090	12
1339	1470	15
12	2536	10
102	9765	23
110	3920	4
9080	7456	8
21457	1544	11
152	3098	21
5308	4219	22
804	8871	3
561	4649	0
933	8129	11
8	6300	7
186	4168	24
271	5499	34
188	4865	17
1312	2506	7
102	839	6
121	7796	18
147	4386	6
120	7071	0
19746	2744	7
101	9125	16
8570	5676	23
1168	4988	30
116	6274	6
118	6797	10
161	9526	9
122	3475	16
587	914	13
370	25	14
103	4044	7
101	1956	11
1535	8311	12
102	8128	1
149	6632	7
24671	1999	39
138	6237	0
165	112	3
109	7743	8
14541	2204	13
121	5872	9
2820	8881	0
9473	7954	2
14	1299	40
25874	4592	31
2248	4203	13
211	6064	11
118	4372	32
264	9878	2
434	289	7
22093	5427	13
227	3372	14
25944	6585	33
141	9335	31
124	2325	15
17004	4098	6
227	737	21
621	9006	19
14	9955	28
120	7382	0
182	4499	10
132	4265	15
1835	4627	0
2	6436	31
195	8026	5
1904	3217	6
140	7609	1
158	2007	7
1268	6008	9
513	6325	2
1593	6685	7
144	5804	25
105	6121	4
210	9489	10
15219	6214	13
15115	3654	8
259	8750	19
165	4923	11
9	4157	19
26038	3543	24
5775	1441	1
1470	5056	5
14	8803	24
22791	6169	3
678	7020	20
129	1251	6
2690	7339	0
109	5939	1
960	3112	13
188	7618	14
107	2262	7
165	5073	7
3115	5719	17
9979	221	17
2641	4502	10
6324	9844	2
1140	1237	12
105	2081	17
5861	218	18
272	6026	7
110	3578	10
189	9686	33
816	3105	7
107	7472	7
1934	3005	23
5546	5623	18
118	1760	1
175	699	11
1289	514	9
350	3981	6
160	4667	8
1088	1390	3
153	9970	13
23118	4879	3
105	34	8
2590	2008	11
1094	1294	38
267	3430	3
12	4236	3
1075	5571	16
4649	61	7
713	2231	20
101	5479	17
141	7679	7
101	9344	10
113	998	16
24995	6316	32
103	2728	11
3994	6815	4
154	4890	12
6564	6813	29
1048	5111	27
3340	1355	11
58	3843	16
170	1645	15
492	1478	8
340	1167	10
2111	6401	28
141	5499	28
1254	4553	15
4793	1624	8
14	8172	6
814	190	20
14	5416	31
105	9827	17
3976	685	18
19897	5231	6
115	1695	49
14	6755	18
148	5574	4
157	9233	22
270	4822	41
283	1751	17
14	8512	16
115	3335	15
1410	3028	4
1617	8514	25
252	8780	14
14	4997	23
935	1851	13
1204	6085	7
2851	5044	32
104	1195	4
25372	579	0
344	2117	2
293	2831	19
122	4920	15
690	2767	0
9314	3769	0
164	7039	0
141	3345	17
1251	1782	14
163	5022	9
140	2047	20
12	6085	3
23752	8800	7
26229	930	6
777	4463	7
3386	1939	1
12365	5801	21
468	9282	1
148	3617	5
14	1610	17
144	9187	20
103	5760	28
106	3761	13
175	433	5
161	7185	1
1678	7583	6
102	4971	14
300	8500	7
503	3952	11
105	7178	31
239	6304	14
930	9312	10
105	1703	18
101	7015	4
111	8144	6
2380	6524	13
8804	3504	7
121	246	11
1112	2086	4
793	91	10
104	1154	2
128	4715	14
1264	3378	21
177	6256	14
21876	653	22
1534	7730	12
8	5461	22
2013	8793	16
185	6250	27
108	7071	1
316	5565	0
111	2901	12
223	2242	29
14	5797	19
1070	8516	18
1960	2616	4
1305	9914	3
230	1792	34
618	5039	3
102	2817	3
319	2582	28
107	4022	1
12	3974	8
3787	1843	2
212	4246	11
117	4256	5
11439	3448	7
122	9754	12
6823	5121	10
142	3994	5
21423	930	4
108	3429	36
350	7564	2
2750	9147	7
6042	7732	15
19358	3623	4
120	8603	0
292	6563	9
105	6375	21
14	230	13
318	2675	14
342	6261	51
181	9854	21
382	7949	7
7958	1379	8
104	9611	15
12	6597	22
114	1642	30
4149	8361	8
131	225	1
14	7713	8
506	2142	34
462	2426	27
173	9062	5
6708	3541	12
109	6806	10
15032	1687	3
13180	54	33
329	6828	5
105	1282	12
449	4150	1
2936	6232	2
433	5087	9
3218	7458	9
12	4550	15
112	7658	3
112	9929	1
106	1589	22
107	642	35
14	2304	8
103	6191	25
2283	489	22
3863	3342	0
12	7821	2
326	618	2
1477	6353	8
1334	8114	21
1880	5762	9
14	5257	11
16	8007	30
105	1961	22
135	2042	21
399	9387	8
12	2425	35
127	5398	16
15396	3037	7
235	8440	3
110	919	17
118	1856	1
5578	9365	6
177	5974	13
883	1657	2
9963	2547	25
109	3833	12
14	6695	26
187	9798	0
14916	5047	0
1993	9560	4
19360	4290	1
105	6283	15
101	5319	17
2477	1563	11
3186	5904	14
230	7992	12
174	9175	34
1644	5101	10
284	3991	12
403	3353	4
127	3578	11
145	2445	26
12	9989	26
2935	4251	11
142	5753	14
18450	992	3
104	6249	31
1419	4323	19
10234	1561	10
106	6970	3
103	9056	1
114	1217	4
129	2568	11
129	297	14
129	3526	9
598	8608	19
124	2712	3
8396	3641	11
1836	9493	7
7370	5571	7
102	8516	5
485	9940	26
154	5618	24
171	8578	17
3934	4930	17
119	9122	30
22040	9180	9
106	6971	23
1454	6825	28
1327	1956	7
102	7693	15
142	2394	3
190	9998	2
